"category","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","Superintelligent AI - Human",-0.8646,-1.1258,-0.3498,-1.1604,-0.4166,0.0015,0.9985
"Hierarchy","Superintelligent AI - Human",3.9926,3.7527,4.1999,3.7679,4.2134,1,0
"Mating","Superintelligent AI - Human",-0.0238,-0.1791,0.036,-0.1527,0.0482,0.2294,0.7706
"Transaction","Superintelligent AI - Human",0.0255,-0.2232,0.3963,-0.2361,0.3743,0.5848,0.4152
